acaloramiento,acalorado,acalorado
acaloramiento,ruborizo,ruborizo
acaloramiento,rubor,rubor 
acaloramiento,rojo,rojo
acaloramiento,roja,roja
acaloramiento,acalorada,acalorada
acaloramiento,colorado,colorado
acaloramiento,colorada,colorada
acaloramiento,acaloramiento,acaloramiento
agobio,saturado,saturado
agobio,agobiada,agobiada
agobio,agobiado,agobiado
agobio,agobio,agobio
agobio,embotada,embotada
agobio,embotado,embotado
agobio,emobote,embote
agobio,saturacion,saturacion
agobio,saturada,saturada
agotamiento,cansancio animico,cansancio animico 
agotamiento,cansado,cansado
agotamiento,canso,canso
agotamiento,estado de agotamiento,estado de agotamiento
agotamiento,falta de energias,falta de energias
agotamiento,cansada,cansada
agotamiento,fatigado,fatigado
agotamiento,fatigada,fatigada
agotamiento,agotado
agotamiento,agotada,agotada
agotamiento,fatiga,fatiga
agotamiento,agotamiento,agotamiento
agotamiento,cansancio,cansancio
ahogo,sofocado,sofocado
ahogo,sofocada,sofocada
ahogo,siento ahogado,siento ahogado
ahogo,sofoco,sofoco
ahogo,sofocos,sofocos
ahogo,falta de aire,falta de aire
ahogo,ahogada,ahogada
ahogo,ahogado,ahogado
ahogo,ahogo,ahogo
ahogo,ahogos,ahogos
ahogo,siento ahogada,siento ahogada
ahogo,faltar el aire,faltar el aire
ahogo,faltas de aire,faltas de aire
ahora,hoy,hoy
ahora,ahora,ahora
ahora,urgente,urgente 
angustia,angustiada,angustiada
angustia,angustiado,angustiado
angustia,angustia,angustia
año,2020
año,2021
año,2022
ansiedad,ansiedad,ansiedad 
ansiedad,ansioso,ansioso 
ansiedad,ansiosa,ansiosa 
ataquePanico,ataque de panico,ataque de panico
ataquePanico,paniqueo,paniqueo
ataquePanico,terror,terror
ataquePanico,panico,panico
ataquePanico,aterrorizo,aterrorizo
ataquePanico,aterroriza,aterroriza
ataquePanico,ataques de panico,ataques de panico 
autoexigencia,autocritica,autocritica
autoexigencia,autoexigente,autoexigente
autoexigencia,critica,critica
autoexigencia,critico,critico
autoexigencia,autoexigencia,autoexigencia
autoexigencia,autocritico,autocritico
bajAutoestima,inferioridad,inferioridad
bajAutoestima,autodesvalorizacion,autodesvalorizacion
bajAutoestima,baja autoestima,baja autoestima
bajAutoestima,desvalorizacion,desvalorizacion
bajAutoestima,desvalorizo,desvalorizo
bajAutoestima,inferior,inferior
bajAutoestima,no valgo,no valgo
bajAutoestima,sentimiento de inferioridad,sentimiento de inferioridad
bajAutoestima,sentimientos de inferioridad,sentimientos de inferioridad
bajAutoestima,siento menos,siento menos
bajAutoestima,sin autoestima,sin autoestima
bajAutoestima,valgo poco,valgo poco
bajon,bajoneado,bajoneado 
bajon,bajon,bajon
bajon,estoy bajoneado,estoy bajoneado
bajon,estoy bajoneada,estoy bajoneada
bajon,bajono,bajono
bajon,bajones,bajones
bajon,bajoneada,bajoneada
bloqueoEmocional,bloqueos,bloqueos
bloqueoEmocional,bloqueos emocionales,bloqueos emocionales
bloqueoEmocional,en blanco,en blanco
bloqueoEmocional,mente en blanco,mente en blanco
bloqueoEmocional,bloqueado,bloqueado
bloqueoEmocional,bloqueada,bloqueada
bloqueoEmocional,no puedo pensar,no puedo pensar
bloqueoEmocional,bloqueo emocional,bloqueo emocional
bloqueoEmocional,bloqueo,bloqueo
consulta,consultita,consultita
consulta,curiosidad,curiosidad
consulta,duda,duda
consulta,consultar una,consultar una
consulta,consultar un,consultar un
consulta,consultarte,consultarte
consulta,consultarme,consultarme
consulta,consultar a una,consultar a una 
consulta,consultar a un,consultar a un 
consulta,consultar,consultar
